"Am_LABEL","beta","pval","tau^2","R^2","I^2","p_fdr"
"rh_parsorbitalis_thickness","0.0277696563999358","0.0103049235687169","0.000952524682874602","8.58762974891329","30.9284518227028","0.109258988471749"
"rh_parstriangularis_thickness","0.0132497807089044","0.0704276244563818","0.000352408416204902","7.1643343263064","23.4534044341907","0.298467133220548"
"rh_pericalcarine_thickness","0.00429638186485279","0.592508712143295","0.000398915353068163","0","24.8394676324218","0.768579907811958"
"rh_postcentral_thickness","0.00792224538174914","0.185721142706063","0.000177783047231468","14.811466042703","16.6243478761827","0.505161508160493"
"rh_posteriorcingulate_thickness","0.00844168732157838","0.340110047471307","0.000765153883425692","0","38.0563844517489","0.642430089668024"
"rh_precentral_thickness","0.00487335338748853","0.495572334602253","0.000328160973595652","0","25.0009370960598","0.748864861176738"
"rh_precuneus_thickness","0.00839439692167294","0.208190563179862","0.000438666917003891","7.76372123829168","35.9818912111193","0.524331788749282"
"rh_rostralanteriorcingulate_thickness","0.0289712642453791","0.027000807939327","0.00154220231352003","6.60661569299352","36.0612032803742","0.184052852290717"
"rh_rostralmiddlefrontal_thickness","0.00786003268030163","0.264041702579415","0.000575811432520193","2.40234728131002","43.167174633801","0.544085932587885"
"rh_superiorfrontal_thickness","0.00894536596511902","0.254401001732168","0.000593600758129114","0","38.7147693402999","0.540602128680856"
"rh_superiorparietal_thickness","0.0144416494421419","0.0296697306431062","0.000401673813355945","2.52897030486083","33.1796338590519","0.184052852290717"
"rh_superiortemporal_thickness","0.00668154249418304","0.340055789797538","0.000257356553291099","0","17.6758020949416","0.642430089668024"
"rh_supramarginal_thickness","0.00558615037202667","0.449697763308679","0.000561452669509148","0","37.8131100832302","0.721621394993269"
"rh_frontalpole_thickness","0.0352018756146326","0.0112472488132683","0.00112723933107068","19.3568186954124","21.5381734770317","0.109258988471749"
"rh_temporalpole_thickness","0.0278389713100494","0.138342826153954","0.00301718261273093","2.36071921197332","33.2783713502678","0.427605099021312"
"rh_transversetemporal_thickness","0.00774116950393583","0.606152671623851","0.00276571681484395","0","48.1323976605716","0.768579907811958"
"rh_insula_thickness","0.0136581998532767","0.0746167833051369","0.000246005365493517","18.2113455058673","14.5424343552162","0.298467133220548"
"lh_bankssts_thickness","0.0142705306013562","0.0920884963003072","0.000428434357782681","6.59621183281225","21.4614813818259","0.313100887421045"
"lh_caudalanteriorcingulate_thickness","0.029511806370085","0.0283227564857512","0.00108635782263425","13.8352458677361","24.1785501480307","0.184052852290717"
"lh_caudalmiddlefrontal_thickness","-0.00335109839489192","0.684965418494986","0.000637113956165842","0","37.5031724695424","0.811986079684012"
"lh_cuneus_thickness","-0.00152331151819996","0.832644683570033","0.000270415536895995","0","19.2588824860492","0.857876340647912"
"lh_entorhinal_thickness","0.00585813361310772","0.732325335893674","0.00208985485485495","0","26.1824121635459","0.82996871401283"
"lh_fusiform_thickness","0.00671427430703225","0.365140938256121","0.000655408885347867","0.353849679650544","43.3182637046032","0.67106983247071"
"lh_inferiorparietal_thickness","0.0131945314843673","0.0621989377553071","0.000454793936635419","12.9289631906332","35.2508064432684","0.298467133220548"
"lh_inferiortemporal_thickness","0.00389087942284775","0.581009829118294","0.000279506853670112","0","19.6374274706717","0.768579907811958"
"lh_isthmuscingulate_thickness","-0.00925765281585792","0.239434525498941","0","0","0","0.540429508846191"
"lh_lateraloccipital_thickness","0.0180574926636893","0.00188079582683899","0.000174643195360607","31.95986628579","18.0201207058446","0.042631372075017"
"lh_lateralorbitofrontal_thickness","0.0160956331469277","0.0297732555176159","0.00038804946317101","9.50090010845372","26.872481087359","0.184052852290717"
