fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
30925,-59,-73,169174,172576,166471,168990,1
30926,-78,-95,160502,161088,157244,156797,1
30927,-60,-40,141162,144718,138060,135791,1
30928,-39,-54,153556,151054,150066,147607,1
30929,-46,-47,148690,154372,146602,145191,1
30930,-38,-51,172600,170646,169139,166907,1
30931,-69,-52,185790,186508,171593,174132,1
30932,-66,-60,166894,172620,154712,156922,1
30933,-39,-45,156688,160662,153977,156859,1
30935,-52,-47,145776,149480,139934,136766,1
30936,-47,-63,155762,156508,153187,152259,1
30938,-61,-46,151966,155112,148748,152612,1
30940,-64,-61,144764,147128,141789,144683,1
30941,-100,-130,170412,171216,162792,163751,1
30942,-65,-78,134960,133494,132121,130346,1
30943,-64,-62,142834,145402,140146,142206,1
30944,-37,-56,128192,128948,126216,127033,1
30945,-43,-41,140388,140548,138556,138035,1
30946,-70,-41,152768,154706,149365,152338,1
30947,-38,-48,125046,124588,122550,121997,1
30948,-49,-72,138562,139170,135769,135459,1
30950,-78,-58,165944,170888,162689,166714,1
30952,-75,-83,148176,156284,144829,146459,1
30953,-69,-60,165572,168924,160155,163525,1
30954,-57,-66,153540,153386,151510,149940,1
30955,-60,-69,137226,139492,133933,135403,1
30956,-33,-33,135384,136872,133547,134899,1
30958,-63,-68,131250,138102,127853,126512,1
30959,-64,-58,144078,144992,140910,141432,1
30960,-54,-53,143772,145402,141962,143183,1
30961,-46,-50,127842,129412,126144,127055,1
30962,-59,-62,137332,138542,133974,136300,1
30963,-72,-59,164982,163572,158500,159157,1
30964,-58,-61,153196,154742,149837,151699,1
30965,-39,-48,150524,148710,148179,144512,1
30966,-63,-58,137940,143052,134329,138994,1
30967,-99,-99,158310,159102,151890,153293,1
30968,-54,-73,139846,140648,136920,136070,1
30969,-56,-49,140768,141686,136425,138393,1
30970,-63,-51,159120,160396,145573,146503,1
30971,-71,-61,173960,172394,160930,165110,1
30972,-91,-79,169612,174564,162570,163758,1
30973,-65,-59,169984,169408,165441,166541,1
30974,-58,-45,143226,141122,140977,139549,1
30975,-106,-99,152862,157438,147127,146614,1
